dataset,ratio,max_data_num,predict_data_num,k,delta,metric,value
GIGAWORD,8,204800,1638400,5,4,PearCorr,0.9832
GIGAWORD,16,102400,1638400,5,4,PearCorr,0.9461
GIGAWORD,32,51200,1638400,5,4,PearCorr,0.923
GIGAWORD,64,25600,1638400,5,4,PearCorr,0.9042
GIGAWORD,128,12800,1638400,5,4,PearCorr,0.9022
GIGAWORD,256,6400,1638400,5,4,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,4,PearCorr,0.8742
GIGAWORD,8,204800,1638400,5,5,PearCorr,0.9814
GIGAWORD,16,102400,1638400,5,5,PearCorr,0.9447
GIGAWORD,32,51200,1638400,5,5,PearCorr,0.9227
GIGAWORD,64,25600,1638400,5,5,PearCorr,0.9011
GIGAWORD,128,12800,1638400,5,5,PearCorr,0.9022
GIGAWORD,256,6400,1638400,5,5,PearCorr,0.9002
GIGAWORD,512,3200,1638400,5,5,PearCorr,0.8742
