dataset,ratio,max_data_num,predict_data_num,metric,method,value,size_constraint
WMT19,512,3200,1638400,RelAcc,ModelSize,0.8494,1900000000.0
GIGAWORD,8,204800,1638400,PearCorr,AtS,0.9898,1900000000.0
GIGAWORD,8,204800,1638400,RelAcc,AtS,1.0,1900000000.0
GIGAWORD,8,204800,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
GIGAWORD,8,204800,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,8,204800,1638400,PearCorr,SubTuning,0.9473,1900000000.0
GIGAWORD,8,204800,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,8,204800,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,8,204800,1638400,RelAcc,ModelSize,0.6238,1900000000.0
GIGAWORD,16,102400,1638400,PearCorr,AtS,0.9746,1900000000.0
GIGAWORD,16,102400,1638400,RelAcc,AtS,0.9139,1900000000.0
GIGAWORD,16,102400,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
GIGAWORD,16,102400,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,16,102400,1638400,PearCorr,SubTuning,0.9204,1900000000.0
GIGAWORD,16,102400,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,16,102400,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,16,102400,1638400,RelAcc,ModelSize,0.6238,1900000000.0
GIGAWORD,32,51200,1638400,PearCorr,AtS,0.97,1900000000.0
GIGAWORD,32,51200,1638400,RelAcc,AtS,0.9139,1900000000.0
GIGAWORD,32,51200,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
GIGAWORD,32,51200,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,32,51200,1638400,PearCorr,SubTuning,0.8889,1900000000.0
GIGAWORD,32,51200,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,32,51200,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,32,51200,1638400,RelAcc,ModelSize,0.6238,1900000000.0
GIGAWORD,64,25600,1638400,PearCorr,AtS,0.9193,1900000000.0
GIGAWORD,64,25600,1638400,RelAcc,AtS,1.0,1900000000.0
GIGAWORD,64,25600,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
GIGAWORD,64,25600,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,64,25600,1638400,PearCorr,SubTuning,0.8532,1900000000.0
GIGAWORD,64,25600,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,64,25600,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,64,25600,1638400,RelAcc,ModelSize,0.6238,1900000000.0
GIGAWORD,128,12800,1638400,PearCorr,AtS,0.9052,1900000000.0
GIGAWORD,128,12800,1638400,RelAcc,AtS,0.9139,1900000000.0
GIGAWORD,128,12800,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
GIGAWORD,128,12800,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,128,12800,1638400,PearCorr,SubTuning,0.8076,1900000000.0
GIGAWORD,128,12800,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,128,12800,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,128,12800,1638400,RelAcc,ModelSize,0.6238,1900000000.0
GIGAWORD,256,6400,1638400,PearCorr,AtS,0.8835,1900000000.0
GIGAWORD,256,6400,1638400,RelAcc,AtS,0.9139,1900000000.0
GIGAWORD,256,6400,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
GIGAWORD,256,6400,1638400,RelAcc,ZeroShot,0.8764,1900000000.0
GIGAWORD,256,6400,1638400,PearCorr,SubTuning,0.7479,1900000000.0
GIGAWORD,256,6400,1638400,RelAcc,SubTuning,0.8764,1900000000.0
GIGAWORD,256,6400,1638400,PearCorr,ModelSize,-0.2207,1900000000.0
GIGAWORD,256,6400,1638400,RelAcc,ModelSize,0.6238,1900000000.0
GIGAWORD,512,3200,1638400,PearCorr,AtS,0.903,1900000000.0
GIGAWORD,512,3200,1638400,RelAcc,AtS,0.9139,1900000000.0
GIGAWORD,512,3200,1638400,PearCorr,ZeroShot,-0.4683,1900000000.0
